Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,French,English
1,1,1,1,chercher,search
2,2,2,2,seulement,only
3,3,3,3,police,police
4,4,4,4,pensais,thought
5,5,5,5,aide,help
6,6,6,6,demande,request
7,7,7,7,genre,kind
8,8,8,8,mois,month
9,9,9,9,frère,brother
10,10,10,10,laisser,let
11,11,11,11,car,because
12,12,12,12,mettre,to put
13,13,13,13,aucun,no
14,14,14,14,laisse,leash
15,15,15,15,ville,city
16,16,16,16,chaque,each
17,17,17,17,parlé,speak
18,18,18,18,arrivé,come
19,19,19,19,devrait,should
20,20,20,20,bébé,baby
21,21,21,21,longtemps,long time
23,23,24,26,aucune,any
24,24,25,27,place,square
25,25,26,28,compris,understood
26,26,27,29,savais,knew
27,27,28,30,étaient,were
28,28,29,31,attention,Warning
29,29,31,33,pourrais,could
31,31,33,35,donner,give
32,32,34,36,type,type
33,33,35,37,leurs,their
34,34,36,38,donné,given
35,35,37,39,train,train
36,36,38,40,corps,body
37,37,39,41,endroit,place
38,38,40,42,yeux,eyes
39,39,41,43,façon,way
40,40,42,44,écoute,listen
42,42,44,46,trouve,find
43,43,45,48,perdu,lost
44,44,46,49,main,hand
45,45,47,51,côté,side
46,46,48,52,pouvoir,power
47,47,49,53,vieux,old
49,49,51,55,tiens,here
50,50,52,56,matin,morning
51,51,53,57,tellement,so much
52,52,54,58,enfant,child
53,53,55,59,point,point
54,54,56,60,venu,came
55,55,57,61,suite,after
56,56,59,63,venez,come
57,57,60,64,devant,in front of
58,59,62,66,demandé,request
59,60,63,67,chambre,bedroom
60,61,64,68,mis,placed
61,62,65,69,belle,beautiful
62,63,66,70,droit,law
63,64,67,71,aimerais,would like to
64,65,68,72,aujourd'hui,today
65,67,70,74,cause,cause
66,68,71,75,enfin,finally
68,70,73,77,eau,water
69,71,74,78,attendez,Wait
70,72,75,79,parti,left
71,73,76,80,nouvelle,new
72,74,78,82,arrêter,Stop
73,75,79,83,dirait,would say
74,76,80,84,terre,Earth
75,77,81,85,compte,account
76,78,82,86,donne,given
77,79,83,87,loin,far
79,81,85,89,croire,believe
80,82,86,90,chérie,sweetheart
84,86,90,94,bureau,office
